duration,definition,viewCount,likeCount,commentCount,publishedAt,channelId,title,description,localized,tags,k
PT27M1S,hd,931220,7862,0,2020-10-04T13:33:16Z,UCwQhhYZDmqyNj9hjJ-xH0rw,Kinder Q1 Ep1: Pagkilala sa Sariling Pangalan at Kasarian,"Kinder
Quarter 1
Episode 1: Pagkilala sa Sariling Pangalan at Kasarian
Teacher: Levin Pabriaga","{'title': 'Kinder Q1 Ep1: Pagkilala sa Sariling Pangalan at Kasarian', 'description': 'Kinder\nQuarter 1\nEpisode 1: Pagkilala sa Sariling Pangalan at Kasarian\nTeacher: Levin Pabriaga'}",,k
PT26M1S,sd,271471,1880,0,2020-10-07T06:09:39Z,UCwQhhYZDmqyNj9hjJ-xH0rw,Kinder Q1 Ep2: Pagkilala sa Sariling Gulang at Kapanganakan,"Kinder 
Quarter 1
Episode 2: Pagkilala sa Sariling Gulang at Kapanganakan
Teacher: Levin Pabriaga","{'title': 'Kinder Q1 Ep2: Pagkilala sa Sariling Gulang at Kapanganakan', 'description': 'Kinder \nQuarter 1\nEpisode 2: Pagkilala sa Sariling Gulang at Kapanganakan\nTeacher: Levin Pabriaga'}",,k
PT24M1S,hd,182163,1222,0,2020-11-16T05:59:38Z,UCwQhhYZDmqyNj9hjJ-xH0rw,Kinder Q1 Ep3: Pagkilala sa Sariling Gusto Di Gusto,"Kinder
Quarter 1
Episode 3 : Pagkilala sa Sariling Gusto Di Gusto
Teacher : Levin Pabriaga","{'title': 'Kinder Q1 Ep3: Pagkilala sa Sariling Gusto Di Gusto', 'description': 'Kinder\nQuarter 1\nEpisode 3 : Pagkilala sa Sariling Gusto Di Gusto\nTeacher : Levin Pabriaga'}","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module']",k
PT25M7S,hd,188025,1264,0,2020-10-31T16:24:54Z,UCwQhhYZDmqyNj9hjJ-xH0rw,Kinder Q1 Ep4: Pagsasabi ng Pangangailangan ng Walang Pag-Aalinlangan,"Kinder 
Quarter 1
Episode 4: Pagsasabi ng Pangangailangan ng Walang Pag-Aalinlangan 
Teacher: Levin Pabriaga","{'title': 'Kinder Q1 Ep4: Pagsasabi ng Pangangailangan ng Walang Pag-Aalinlangan', 'description': 'Kinder \nQuarter 1\nEpisode 4: Pagsasabi ng Pangangailangan ng Walang Pag-Aalinlangan \nTeacher: Levin Pabriaga'}","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'kinder', 'deped tv kinder']",k
PT23M7S,hd,132821,975,0,2020-11-07T03:13:39Z,UCwQhhYZDmqyNj9hjJ-xH0rw,Kinder Q1 Ep5: Pagsasabi ng mga Sariling Pangangailangan nang Walang Pag aalinlangan,"Kinder 
Quarter 1
Episode 5 : Pagsasabi ng mga Sariling Pangangailangan nang Walang Pag aalinlangan
Teacher : Levin Pabriaga","{'title': 'Kinder Q1 Ep5: Pagsasabi ng mga Sariling Pangangailangan nang Walang Pag aalinlangan', 'description': 'Kinder \nQuarter 1\nEpisode 5 : Pagsasabi ng mga Sariling Pangangailangan nang Walang Pag aalinlangan\nTeacher : Levin Pabriaga'}","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module']",k
PT25M8S,sd,119372,804,0,2020-10-15T16:42:08Z,UCwQhhYZDmqyNj9hjJ-xH0rw,Kinder Q1 Ep6: Pagsunod sa Itinakdang Gawain at Tuntunin,"Kinder 
Quarter 1
Episode 6: Pagsunod sa Itinakdang Gawain at Tuntunin
Teacher: Levin Pabriaga","{'title': 'Kinder Q1 Ep6: Pagsunod sa Itinakdang Gawain at Tuntunin', 'description': 'Kinder \nQuarter 1\nEpisode 6: Pagsunod sa Itinakdang Gawain at Tuntunin\nTeacher: Levin Pabriaga'}",,k
PT24M37S,hd,118955,827,0,2020-11-16T06:03:14Z,UCwQhhYZDmqyNj9hjJ-xH0rw,"Kinder Q1 Ep7: Pagbubukod ng mga Bagay Ayon sa Kanilang Mga Katangian Hugis, Kulay, Laki at Gamit","Kinder
Quarter 1
Episode 7 : Pagbubukod bukod ng mga Bagay Ayon sa Kanilang Mga Katangian (Hugis, Kulay, Laki at Gamit)
Teacher : Levin Pabriaga","{'title': 'Kinder Q1 Ep7: Pagbubukod ng mga Bagay Ayon sa Kanilang Mga Katangian Hugis, Kulay, Laki at Gamit', 'description': 'Kinder\nQuarter 1\nEpisode 7 : Pagbubukod bukod ng mga Bagay Ayon sa Kanilang Mga Katangian (Hugis, Kulay, Laki at Gamit)\nTeacher : Levin Pabriaga'}","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module']",k
PT25M34S,hd,143658,1006,0,2020-11-16T06:07:41Z,UCwQhhYZDmqyNj9hjJ-xH0rw,"Kinder Q1 Ep8: Pagbubukod ng mga Bagay Ayon sa Kanilang Mga Katangian Hugis,Kulay, Laki at Gamit","Kinder
Quarter 1
Episode 8: Pagbubukod bukod ng mga Bagay Ayon sa Kanilang Mga Katangian Hugis,Kulay, Laki at Gamit
Teacher : Levin Pabriaga","{'title': 'Kinder Q1 Ep8: Pagbubukod ng mga Bagay Ayon sa Kanilang Mga Katangian Hugis,Kulay, Laki at Gamit', 'description': 'Kinder\nQuarter 1\nEpisode 8: Pagbubukod bukod ng mga Bagay Ayon sa Kanilang Mga Katangian Hugis,Kulay, Laki at Gamit\nTeacher : Levin Pabriaga'}","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module']",k
PT25M22S,hd,100634,619,0,2020-12-09T15:39:06Z,UCwQhhYZDmqyNj9hjJ-xH0rw,"Kinder Q1 Ep9: Pagbabakat, Pagsisipi, at Pagsusulat ng Iba't Ibang Linya","Kinder 
Quarter 1
Episode 9 : Pagbabakat, Pagsisipi, at Pagsusulat ng Iba't Ibang Linya
Teacher : Levin Pabriaga","{'title': ""Kinder Q1 Ep9: Pagbabakat, Pagsisipi, at Pagsusulat ng Iba't Ibang Linya"", 'description': ""Kinder \nQuarter 1\nEpisode 9 : Pagbabakat, Pagsisipi, at Pagsusulat ng Iba't Ibang Linya\nTeacher : Levin Pabriaga""}","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",k
PT23M31S,hd,84239,566,0,2021-08-22T05:41:59Z,UCwQhhYZDmqyNj9hjJ-xH0rw,"Kinder Q1 Ep10: Pagkilos ng Iba’t ibang kakayahan Gaya ng Pag-awit, Pag-sayaw, at Iba pa","Kinder
Quarter 1
Episode 10: Pagkilos ng Iba’t ibang kakayahan Gaya ng Pag-awit, Pag-sayaw, at Iba pa
Teacher: Levin Pabriaga","{'title': 'Kinder Q1 Ep10: Pagkilos ng Iba’t ibang kakayahan Gaya ng Pag-awit, Pag-sayaw, at Iba pa', 'description': 'Kinder\nQuarter 1\nEpisode 10: Pagkilos ng Iba’t ibang kakayahan Gaya ng Pag-awit, Pag-sayaw, at Iba pa\nTeacher: Levin Pabriaga'}","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",k
PT25M7S,hd,174502,1341,0,2021-08-22T05:44:00Z,UCwQhhYZDmqyNj9hjJ-xH0rw,"Kinder Q1 Ep11: Pagtukoy sa Naiibang Letra, Bilang, at Salita sa Isang Grupo","Kinder
Quarter 1
Episode 11: Pagtukoy sa Naiibang Letra, Bilang, at Salita sa Isang Grupo
Teacher: Levin Pabriaga","{'title': 'Kinder Q1 Ep11: Pagtukoy sa Naiibang Letra, Bilang, at Salita sa Isang Grupo', 'description': 'Kinder\nQuarter 1\nEpisode 11: Pagtukoy sa Naiibang Letra, Bilang, at Salita sa Isang Grupo\nTeacher: Levin Pabriaga'}","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",k
PT25M28S,hd,41356,325,0,2021-08-22T05:46:18Z,UCwQhhYZDmqyNj9hjJ-xH0rw,"Kinder Q1 Ep12 - Pagtukoy sa Naiibang Letra, Bilang, at Salita sa Isang Grupo","Kinder
Quarter 1
Episode 12 - Pagtukoy sa Naiibang Letra, Bilang, at Salita sa Isang Grupo
Teacher: Levin Pabriaga","{'title': 'Kinder Q1 Ep12 - Pagtukoy sa Naiibang Letra, Bilang, at Salita sa Isang Grupo', 'description': 'Kinder\nQuarter 1\nEpisode 12 - Pagtukoy sa Naiibang Letra, Bilang, at Salita sa Isang Grupo\nTeacher: Levin Pabriaga'}","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",k
PT24M49S,hd,38659,345,0,2021-08-24T07:05:12Z,UCwQhhYZDmqyNj9hjJ-xH0rw,"Kinder Q1 Ep13 - Pagtukoy sa Magkaparehong Letra, Bilang, at Salita sa Isang Grupo","Kinder
Quarter 1
Episode 13 - Pagtukoy sa Magkaparehong Letra, Bilang, at Salita sa Isang Grupo
Teacher: Levin Pabriaga","{'title': 'Kinder Q1 Ep13 - Pagtukoy sa Magkaparehong Letra, Bilang, at Salita sa Isang Grupo', 'description': 'Kinder\nQuarter 1\nEpisode 13 - Pagtukoy sa Magkaparehong Letra, Bilang, at Salita sa Isang Grupo\nTeacher: Levin Pabriaga'}","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",k
PT23M1S,hd,43179,285,0,2020-12-28T04:36:57Z,UCwQhhYZDmqyNj9hjJ-xH0rw,"Kinder Q1 Ep14: Pagtukoy sa Magkaparehong Letra, Bilang, at Salita sa Isang Grupo","Kinder
Quarter 1
Episode 14: Pagtukoy sa Magkaparehong Letra, Bilang, at Salita sa Isang Grupo
Teacher: Levin Pabriaga","{'title': 'Kinder Q1 Ep14: Pagtukoy sa Magkaparehong Letra, Bilang, at Salita sa Isang Grupo', 'description': 'Kinder\nQuarter 1\nEpisode 14: Pagtukoy sa Magkaparehong Letra, Bilang, at Salita sa Isang Grupo\nTeacher: Levin Pabriaga'}","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",k
